appid,category
6910,Multi-player
6920,Single-player
6980,Single-player
7000,Single-player
7000,Partial Controller Support
7010,Single-player
7010,Multi-player
7020,Single-player
7020,Multi-player
7020,Co-op
7110,Single-player
7110,Partial Controller Support
7200,Single-player
7200,Multi-player
7200,Includes level editor
7210,Single-player
7220,Single-player
7260,Single-player
7260,Multi-player
7340,Single-player
7510,Single-player
7510,Steam Trading Cards
7510,Partial Controller Support
7520,Single-player
7520,Multi-player
7520,Online Multi-Player
7520,Co-op
7520,Online Co-op
7520,Cross-Platform Multiplayer
7520,Steam Achievements
7520,Full controller support
7520,Steam Trading Cards
7520,In-App Purchases
7520,Steam Cloud
7530,Single-player
7530,Steam Trading Cards
7530,Steam Cloud
7600,Single-player
7600,Multi-player
7610,Single-player
7610,Multi-player
7620,Single-player
7650,Single-player
7660,Single-player
7730,Single-player
7730,Multi-player
7760,Single-player
7770,Single-player
7770,Multi-player
7830,Single-player
7830,Multi-player
7830,Steam Cloud
7830,Includes level editor
7840,Single-player
7840,Steam Cloud
7860,Single-player
7860,Multi-player
7860,Steam Cloud
7940,Single-player
7940,Multi-player
8000,Single-player
8000,Partial Controller Support
8080,Single-player
8080,Multi-player
8080,Shared/Split Screen
8080,Partial Controller Support
8100,Single-player
8140,Single-player
8170,Single-player
8170,Multi-player
8170,Partial Controller Support
8190,Single-player
8190,Steam Achievements
8190,Full controller support
8190,Steam Cloud
8310,Single-player
8320,Single-player
8330,Single-player
8340,Single-player
8400,Single-player
8400,Full controller support
8500,Multi-player
8500,Online Multi-Player
8500,MMO
8500,Co-op
8500,Online Co-op
8500,Steam Trading Cards
8600,Single-player
8600,Multi-player
8790,Single-player
8790,Multi-player
8800,Single-player
8870,Single-player
8870,Steam Achievements
8870,Full controller support
8870,Steam Trading Cards
8870,Steam Cloud
8880,Single-player
8880,Multi-player
8890,Single-player
8890,Multi-player
8930,Single-player
8930,Multi-player
8930,Steam Achievements
8930,Steam Trading Cards
8930,Steam Cloud
8970,Single-player
8970,Steam Achievements
9000,Single-player
9000,Steam Cloud
9010,Single-player
9010,Multi-player
9010,Steam Cloud
9030,Single-player
9030,Multi-player
9030,Steam Cloud
9040,Single-player
9040,Multi-player
9040,Steam Cloud
9050,Single-player
9050,Multi-player
9050,Steam Cloud
9060,Single-player
9060,Multi-player
9060,Co-op
9060,Steam Cloud
9160,Single-player
9160,Steam Cloud
9180,Single-player
9180,Steam Cloud
9200,Single-player
9200,Multi-player
9200,Co-op
9200,Steam Achievements
9200,Partial Controller Support
9310,Single-player
9310,Multi-player
9340,Single-player
9340,Multi-player
9340,Steam Cloud
9350,Single-player
9350,Multi-player
9420,Single-player
9420,Multi-player
9450,Single-player
9450,Multi-player
9450,Steam Cloud
9460,Single-player
9460,Co-op
9460,Steam Cloud
9480,Single-player
9480,Steam Cloud
9500,Single-player
9500,Multi-player
9710,Single-player
9760,Single-player
9760,Multi-player
9800,Single-player
9800,Steam Cloud
9850,Single-player
9850,Multi-player
9850,Co-op
9880,Multi-player
9880,MMO
9880,Co-op
9880,Steam Achievements
9900,Multi-player
9900,MMO
9900,Co-op
9900,Steam Achievements
9900,Full controller support
9900,In-App Purchases
9940,Single-player
9940,Steam Achievements
9940,Steam Trading Cards
9940,Partial Controller Support
9940,Steam Cloud
9960,Single-player
9960,Partial Controller Support
9970,Single-player
9970,Partial Controller Support
9980,Single-player
10090,Single-player
10090,Multi-player
10090,Co-op
10100,Single-player
10110,Single-player
10120,Single-player
10130,Single-player
10130,Multi-player
10140,Single-player
10150,Single-player
10180,Single-player
10180,Multi-player
10180,Co-op
10180,Steam Achievements
10180,Steam Cloud
10180,Valve Anti-Cheat enabled
10220,Single-player
10220,Steam Achievements
10230,Single-player
10240,Single-player
10250,Single-player
10250,Multi-player
10260,Single-player
10260,Multi-player
10270,Single-player
10270,Multi-player
10460,Single-player
10460,Multi-player
10460,Partial Controller Support
10500,Single-player
10500,Multi-player
10500,Steam Achievements
10500,Steam Trading Cards
10500,Stats
10680,Single-player
10680,Multi-player
10680,Co-op
10680,Steam Achievements
10680,Steam Cloud
10680,Stats
10680,Steam Leaderboards
11020,Single-player
11020,Multi-player
11020,Includes level editor
11040,Single-player
11050,Single-player
11130,Single-player
11140,Single-player
11150,Single-player
11190,Single-player
11200,Single-player
11200,Shared/Split Screen
11200,Steam Trading Cards
11200,Includes level editor
11230,Single-player
11230,Multi-player
11240,Single-player
11240,Multi-player
11240,Co-op
11240,Steam Achievements
11250,Single-player
11250,Multi-player
11250,Steam Trading Cards
11260,Single-player
11260,Multi-player
11260,Steam Trading Cards
11280,Single-player
11280,Multi-player
11280,Online Multi-Player
11280,Steam Trading Cards
11330,Single-player
11330,Steam Achievements
11340,Single-player
11340,Steam Achievements
11360,Single-player
11450,Single-player
11450,Partial Controller Support
11480,Single-player
11480,Multi-player
11480,Co-op
11560,Single-player
11590,Single-player
12100,Single-player
12100,Partial Controller Support
12110,Single-player
12110,Partial Controller Support
12120,Single-player
12130,Single-player
12140,Single-player
12150,Single-player
12170,Single-player
12180,Single-player
12200,Single-player
12200,Partial Controller Support
12210,Single-player
12210,Multi-player
12210,Partial Controller Support
12220,Single-player
12220,Multi-player
12310,Single-player
12320,Single-player
12330,Single-player
12340,Single-player
12340,Steam Trading Cards
12360,Single-player
12360,Multi-player
12390,Single-player
12390,Multi-player
12390,Partial Controller Support
12420,Single-player
12420,Multi-player
12430,Single-player
12440,Single-player
12450,Single-player
12460,Single-player
12460,Multi-player
12470,Single-player
12480,Single-player
12500,Single-player
12500,Multi-player
12500,Steam Cloud
12510,Single-player
12520,Single-player
12530,Single-player
12540,Single-player
12560,Single-player
12590,Single-player
12590,Multi-player
12600,Single-player
12640,Single-player
12670,Single-player
12710,Single-player
12710,Partial Controller Support
12770,Single-player
12770,Full controller support
12790,Single-player
12790,Multi-player
12790,Co-op
12810,Single-player
12830,Single-player
12830,Partial Controller Support
13000,Single-player
13000,Multi-player
13000,Steam Achievements
13140,Single-player
13140,Multi-player
13140,Steam Achievements
13140,Steam Cloud
13200,Single-player
13210,Single-player
13210,Multi-player
13210,Co-op
13210,Steam Achievements
13230,Single-player
13230,Multi-player
13230,Steam Trading Cards
13240,Single-player
13240,Multi-player
13250,Single-player
13250,Multi-player
13500,Single-player
13520,Single-player
13530,Single-player
