,appid,steamspy_tags
553,7510,Action
554,7510,Hack and Slash
555,7510,Female Protagonist
556,7520,RPG
557,7520,Open World
558,7520,Fantasy
559,7530,Strategy
560,7530,Tower Defense
561,7530,Fantasy
562,7600,Strategy
563,7600,Trains
564,7600,Management
565,7610,Strategy
566,7610,Management
567,7610,Trains
568,7620,Strategy
569,7620,Management
570,7620,Trains
571,7650,Strategy
572,7650,Turn-Based
573,7650,Sci-fi
574,7660,Strategy
575,7660,Turn-Based
576,7660,Tactical
577,7730,Strategy
578,7730,Sci-fi
579,7730,Space
580,7760,Strategy
581,7760,Classic
582,7760,Turn-Based Strategy
583,7770,Strategy
584,7770,Action
585,7770,Shooter
586,7830,Strategy
587,7830,World War II
588,7830,RTS
589,7840,Racing
590,7840,Action
591,7840,Shooter
592,7860,Action
593,7860,FPS
594,7860,World War I
595,7940,FPS
596,7940,Action
597,7940,Multiplayer
598,8000,Action
599,8000,Adventure
600,8000,Female Protagonist
601,8080,Action
602,8080,Third-Person Shooter
603,8080,Crime
604,8100,Action
605,8100,FPS
606,8100,Singleplayer
607,8140,Adventure
608,8140,Action
609,8140,Female Protagonist
610,8170,World War II
611,8170,Strategy
612,8170,Action
613,8190,Open World
614,8190,Action
615,8190,Sandbox
616,8310,Adventure
617,8310,Point & Click
618,8320,Adventure
619,8320,Point & Click
620,8330,Casual
621,8330,Card Game
622,8340,Adventure
623,8340,Point & Click
624,8340,Comedy
625,8400,Arcade
626,8400,Twin Stick Shooter
627,8400,Casual
628,8500,Space
629,8500,Massively Multiplayer
630,8500,Sci-fi
631,8600,Racing
632,8600,Simulation
633,8600,Driving
634,8790,Racing
635,8790,Simulation
636,8790,Sports
637,8800,Strategy
638,8800,Turn-Based Strategy
639,8800,4X
640,8870,FPS
641,8870,Story Rich
642,8870,Action
643,8880,RPG
644,8880,Strategy
645,8880,Superhero
646,8890,RPG
647,8890,Strategy
648,8890,Superhero
649,8930,Turn-Based Strategy
650,8930,Strategy
651,8930,Turn-Based
652,8970,Indie
653,8970,Point & Click
654,9000,Action
655,9000,FPS
656,9000,Classic
657,9010,FPS
658,9010,Action
659,9010,Classic
660,9030,Action
661,9030,FPS
662,9030,Shooter
663,9040,Action
664,9040,FPS
665,9040,Shooter
666,9050,Horror
667,9050,FPS
668,9050,Action
669,9060,Action
670,9060,FPS
671,9060,Classic
672,9160,Action
673,9160,FPS
674,9160,Classic
675,9180,Platformer
676,9180,Classic
677,9180,Action
678,9200,FPS
679,9200,Post-apocalyptic
680,9200,Action
681,9310,Strategy
682,9310,Warhammer 40K
683,9310,RTS
684,9340,Strategy
685,9340,RTS
686,9340,Action
687,9350,Strategy
688,9350,RTS
689,9350,Sci-fi
690,9420,Strategy
691,9420,RTS
692,9420,Sci-fi
693,9450,Warhammer 40K
694,9450,Strategy
695,9450,RTS
696,9460,Action
697,9460,FPS
698,9460,Shooter
699,9480,Open World
700,9480,Action
701,9480,Character Customization
702,9500,Indie
703,9500,Platformer
704,9500,Physics
705,9710,Action
706,9710,Western
707,9710,Strategy
708,9760,Action
709,9760,Strategy
710,9760,RTS
711,9800,Stealth
712,9800,Action
713,9800,Adventure
714,9850,Strategy
715,9850,Simulation
716,9850,RTS
717,9880,Free to Play
718,9880,Superhero
719,9880,Massively Multiplayer
720,9900,Free to Play
721,9900,Sci-fi
722,9900,Space
723,9940,Anime
724,9940,Platformer
725,9940,Female Protagonist
726,9960,Adventure
727,9970,Action
728,9970,Space
729,9980,Casual
730,9980,Puzzle
731,9980,Relaxing
732,10090,Zombies
733,10090,World War II
734,10090,FPS
735,10100,Adventure
736,10100,Point & Click
737,10100,Classic
738,10110,Adventure
739,10110,Point & Click
740,10110,Classic
741,10120,Action
742,10120,Casual
743,10120,Space
744,10130,Action
745,10130,FPS
746,10130,Time Manipulation
747,10140,Sports
748,10140,Mini Golf
749,10140,Golf
750,10150,Action
751,10150,Open World
752,10150,Adventure
753,10180,Action
754,10180,FPS
755,10180,Multiplayer
756,10220,Action
757,10220,Dark Humor
758,10220,Gore
759,10230,Adventure
760,10230,Point & Click
761,10240,Adventure
762,10240,Point & Click
763,10250,Simulation
764,10250,Naval
765,10260,Simulation
766,10260,Naval
767,10270,RPG
768,10270,Turn-Based Strategy
769,10270,Strategy
770,10460,Action
771,10460,Third-Person Shooter
772,10460,Arcade
773,10500,Strategy
774,10500,Historical
775,10500,Military
776,10680,Action
777,10680,FPS
778,10680,Aliens
779,11020,Racing
780,11020,Free to Play
781,11020,Multiplayer
782,11040,Adventure
783,11040,Detective
784,11040,Point & Click
785,11050,Adventure
786,11050,Point & Click
787,11050,Vampire
788,11130,Adventure
789,11130,Point & Click
790,11130,Detective
791,11140,Adventure
792,11140,Point & Click
793,11140,Lovecraftian
794,11150,Adventure
795,11150,Point & Click
796,11150,Detective
797,11190,Adventure
798,11190,Point & Click
799,11190,Detective
800,11200,Action
801,11200,Sci-fi
802,11200,Isometric
803,11230,Indie
804,11230,Casual
805,11230,Racing
806,11240,Action
807,11240,Space
808,11240,FPS
809,11250,Strategy
810,11250,Simulation
811,11250,World War II
812,11260,Simulation
813,11260,Strategy
814,11260,World War II
815,11280,Action
816,11280,Casual
817,11280,Indie
818,11330,Puzzle
819,11330,Casual
820,11330,Indie
821,11340,Action
822,11340,Indie
823,11340,Top-Down
824,11360,Indie
825,11360,Puzzle
826,11360,Physics
827,11450,RPG
828,11450,Villain Protagonist
829,11450,Third Person
830,11480,Strategy
831,11480,World War II
832,11480,RTS
833,11560,Strategy
834,11560,RTS
835,11590,Simulation
836,11590,Management
837,11590,Singleplayer
838,12100,Open World
839,12100,Action
840,12100,Classic
841,12110,Open World
842,12110,Action
843,12110,1980s
844,12120,Open World
845,12120,Action
846,12120,Multiplayer
847,12130,Gore
848,12130,Violent
849,12130,Stealth
850,12140,Noir
851,12140,Action
852,12140,Classic
853,12150,Noir
854,12150,Action
855,12150,Third-Person Shooter
856,12170,Action
857,12170,Classic
858,12170,Open World
859,12180,Action
860,12180,Classic
861,12180,Open World
862,12200,Open World
863,12200,Action
864,12200,Adventure
865,12210,Open World
866,12210,Action
867,12210,Bowling
868,12220,Open World
869,12220,Action
870,12220,Multiplayer
871,12310,Adventure
872,12310,RPG
873,12310,Sci-fi
874,12320,RPG
875,12320,Action
876,12320,Hack and Slash
877,12330,Action
878,12330,Space
879,12330,Sci-fi
880,12340,Adventure
881,12340,Point & Click
882,12340,Comedy
883,12360,Racing
884,12360,Destruction
885,12360,Multiplayer
