appid,developer
35320,Targem Games
35450,Tripwire Interactive
35460,Teotl Studios
35480,Power of 2
35600,Frima
35700,Frozenbyte
35720,Frozenbyte
35800,Digital Eel
36000,Sakari Indie
36100,Sandlot Games
36130,Sandlot Games
36180,Sandlot Games
36210,Sandlot Games
36240,Sandlot Games
36300,Sandlot Games
36310,Sandlot Games
36320,Cateia Games
36900,3000AD
36910,3000AD
37000,Ice-Pick Lodge
37010,FromSoftware
37030,Chaos Concept
37100,Citeremis Inc.
37210,"Big Splash Games, LLC"
37220,Aliasworlds Entertainment
37230,Zemnott
37240,PlayFirst
37260,Wadjet Eye Games
37270,PlayFirst
37280,Sarbakan
37300,PlayFirst
37310,Absolutist Ltd.
37320,PlayFirst
37330,PlayFirst
37340,Sarbakan
37370,PlayFirst
37380,PlayFirst
37390,PlayFirst
37400,Size Five Games
37500,Yullaby
37600,Vectorpark
37700,8monkey Labs
37800,Gamerizon
37960,iWin
38000,iWin
38070,iWin
38080,Hip Soft
38090,Hip Soft
38100,Hip Soft
38110,Hip Soft
38120,Alawar
38130,Alawar
38140,Alawar
38150,Alawar
38160,Alawar
38170,Awem Studio
38180,Awem Studio
38190,Awem Studio
38210,Spidermonk Entertainment
38230,"Enlight Software Limited, PerspectX"
38400,Interplay Inc.
38410,Black Isle Studios
38420,14° East
38430,Xatrix Entertainment
38450,Shiny Entertainment
38460,BioWare Corporation
38490,Shiny Entertainment
38600,Subsoap
38700,Two Tribes
38720,Two Tribes
38740,Two Tribes
39000,Virtual Heroes
39000,Army Game Studio
39110,SQUARE ENIX
39120,Trion Worlds
39140,Square Enix
39150,Square Enix
39190,Gas Powered Games
39200,Gas Powered Games
39210,Square Enix
39500,Piranha Bytes
39510,Piranha Bytes
39520,4HEAD Studios
39540,Phenomic
39560,Homegrown Games
39630,THQ Nordic
39640,THQ Nordic
39650,4 Head Studios
39660,4 Head Studios
39670,Cauldron
39680,Rune Forge
39690,Spellbound Studios
39800,DiezelPower
39900,ZoopTEK
40100,Gas Powered Games
