appid,genres
33670,Strategy;RPG
33680,Indie
33760,Casual
33770,RPG
33790,Casual
33900,Action;Simulation;Strategy
33930,Action;Simulation;Strategy
33950,Casual;Indie
33980,Action
33990,Adventure
34010,Action;RPG
34030,Strategy
34190,Racing
34410,Action
34420,Strategy
34500,Indie;Simulation;Strategy
34600,Strategy
34630,Strategy
34640,Strategy
34800,Adventure
34810,Action;Simulation
34820,Simulation
34830,Action
34870,Action
34900,Indie
34920,Action;Casual;Indie
35000,Action;Adventure
35070,Casual
35130,Action;Adventure
35140,Action;Adventure
35300,Strategy
35310,Action;Racing
35320,Racing
35450,Action;Massively Multiplayer;Simulation
35460,Action;Adventure;Indie
35480,Strategy;Indie;Casual
35600,Adventure;Casual;Strategy
35700,Action;Adventure;Indie
35720,Action;Adventure;Indie
35800,Casual;Indie
36000,Action;Indie
36100,Casual
36130,Casual
36180,Casual
36210,Casual
36240,Casual
36300,Casual
36310,Strategy;Casual
36320,Adventure;Casual
36900,Action;Simulation
36910,Action;Simulation
37000,Nudity;Action;Adventure
37010,Action
37030,Strategy
37100,Action;RPG;Indie
37210,Simulation
37220,Simulation
37230,Simulation
37240,Simulation
37260,Adventure
37270,Adventure;RPG
37280,Simulation
37300,Simulation
37310,Casual
37320,Casual
37330,Casual
37340,Casual
37370,Casual
37380,Casual
37390,Casual
37400,Adventure;Indie
37500,Indie;Casual
37600,Adventure;Casual;Indie
37700,Action
37800,Indie;Casual
37960,Casual
38000,Casual
38070,Casual;Simulation
38080,Simulation
38090,Simulation
38100,Simulation
38110,Simulation
38120,Casual
38130,Casual
38140,Casual
38150,Casual
38160,Casual
38170,Casual
38180,Casual
38190,Casual
38210,Casual
38230,Simulation
38400,RPG
38410,RPG
38420,Strategy
38430,Action
38450,Action
38460,Action
38490,Action;Adventure
38600,Casual;Indie
38700,Casual;Indie
38720,Casual;Indie;Strategy
38740,Action;Indie
39000,Adventure;Simulation;Strategy
39110,Casual
39120,Free to Play;Massively Multiplayer;RPG
39140,RPG
39150,RPG
39190,RPG
39200,RPG
39210,Massively Multiplayer;RPG
39500,Action;RPG
39510,Action;RPG
39520,Simulation;Strategy
39540,Action;RPG
39560,Action
39630,Action
39640,Action
39650,Simulation;Strategy
39660,Simulation;Strategy
39670,Action
39680,Simulation;Strategy
39690,RPG
39800,Action;Indie
39900,Action
40100,Strategy
40200,Casual
40210,Casual
40300,RPG
40320,Strategy
40330,Adventure
40340,Adventure
40350,Adventure
40380,Racing
40390,RPG
40400,Indie;Strategy
40420,Casual;Indie
40500,Action;Strategy;Indie
40700,Adventure;Indie
40720,Adventure;Casual;Indie
40930,Adventure;Indie
40950,Simulation;Strategy
40970,Simulation;Strategy
40980,Simulation;Strategy
40990,Violent;Action;Adventure
41000,Action;Indie
41070,Action;Indie
41100,Action;Indie
41300,Action;Free to Play;Indie
41400,Action;Indie
41500,RPG
41600,Action;Adventure
41660,Action;Adventure;Indie
41680,Indie
41700,Action;RPG
41740,Action;Adventure;Simulation
41800,Indie;Simulation;Strategy
41900,Action;Adventure;RPG
42000,Casual;Indie
42120,Action
42140,Adventure;Casual;Indie
42170,Action;Adventure;Indie;RPG;Strategy
42210,Adventure
42220,Adventure
42230,Adventure
42500,Action;Indie
42670,Action
42700,Action
42810,Strategy
42850,Strategy
42890,Strategy
42910,Action;RPG
42920,Strategy
42930,Strategy
42940,Strategy
42950,Strategy
42960,Strategy
42980,Strategy
42990,Strategy
43000,Action
43100,Simulation
43190,Action;Indie
43500,Simulation;Strategy
43600,Adventure
44100,Action;Indie;Racing
44350,Racing;Sports
44360,Racing;Simulation;Sports
44600,Racing;Sports
44680,Racing
44690,Racing;Simulation;Sports
45000,Indie;Strategy
45100,Casual;Indie
45300,Simulation
45400,Indie
45410,Racing
45420,Casual;Indie;Simulation
45450,Casual;Indie
45700,Action;Adventure
45710,Action;Adventure
45720,Action;Adventure
45730,Action;Adventure
45740,Action;Adventure
45750,Action;Adventure
45760,Action
45770,Action;Adventure
46000,Adventure;Indie
46200,Action;Racing
46250,Action
46260,RPG;Strategy
46270,RPG;Strategy
46280,RPG;Strategy
46290,Strategy
46340,Simulation;Strategy
46350,Strategy
46360,Simulation;Strategy
46370,Simulation
46380,Strategy
46400,Action;RPG
46410,Action;Indie;RPG
46440,Strategy
46450,Indie;RPG;Strategy
46480,Adventure
46490,Adventure
46500,Adventure;Casual
46510,Adventure
46520,Action;Indie
46540,Action;Strategy
46550,Adventure
46570,Adventure;Indie;RPG;Strategy
46600,Action;Casual;Indie
46700,Strategy
46710,Strategy
46720,RPG
46730,RPG
46740,Simulation
46750,Adventure;Indie
46760,Strategy
46770,Indie;Simulation;Strategy
46790,Strategy
46830,Strategy
46840,Strategy
46850,Casual
47110,Action
47120,Action
47130,Adventure
47400,Simulation;Strategy
47410,Free to Play;Massively Multiplayer;Strategy
47700,Strategy
47730,RPG
47780,Action
47790,Action
47800,Strategy
47810,RPG
47870,Racing
47890,Simulation
47920,Racing
48000,Adventure;Indie
48110,Simulation
48150,Casual
48190,Action;Adventure
48240,Strategy
48700,Action;RPG
48720,Action;RPG
48800,Simulation
48950,Strategy
49000,Casual
49300,Strategy
49320,Casual
49470,Strategy
49520,Action;RPG
49600,Action;Casual;Indie
49800,Action;Indie
49810,Indie
49900,Action;Indie
50000,Indie;Racing
50130,Action
50300,Action;Adventure
50510,Action
50910,Casual
