appid,platform
33100,windows
33110,windows
33120,windows
33130,windows
33180,windows
33230,windows
33320,windows
33390,windows
33460,windows
33520,windows
33570,windows
33600,windows
33600,mac
33600,linux
33610,windows
33620,windows
33650,windows
33660,windows
33670,windows
33680,windows
33680,mac
33680,linux
33760,windows
33770,windows
33790,windows
33790,mac
33900,windows
33930,windows
33950,windows
33980,windows
33990,windows
34010,windows
34030,windows
34030,mac
34190,windows
34410,windows
34420,windows
34500,windows
34600,windows
34630,windows
34640,windows
34800,windows
34810,windows
34820,windows
34830,windows
34870,windows
34900,windows
34920,windows
35000,windows
35070,windows
35130,windows
35140,windows
35140,mac
35300,windows
35310,windows
35320,windows
35450,windows
35460,windows
35480,windows
35480,mac
35480,linux
35600,windows
35700,windows
35700,mac
35700,linux
35720,windows
35720,mac
35720,linux
35800,windows
35800,mac
36000,windows
36000,mac
36100,windows
36130,windows
36180,windows
36210,windows
36240,windows
36300,windows
36310,windows
36320,windows
36900,windows
36910,windows
37000,windows
37010,windows
37030,windows
37100,windows
37100,mac
37210,windows
37210,mac
37220,windows
37220,mac
37230,windows
37230,mac
37240,windows
37240,mac
37260,windows
37270,windows
37270,mac
37280,windows
37280,mac
37300,windows
37300,mac
37310,windows
37310,mac
37320,windows
37320,mac
37330,windows
37330,mac
37340,windows
37340,mac
37370,windows
37370,mac
37380,windows
37380,mac
37390,windows
37390,mac
37400,windows
37500,windows
37600,windows
37600,mac
37700,windows
37800,windows
37800,mac
37960,windows
38000,windows
38070,windows
38080,windows
38090,windows
38100,windows
38110,windows
38120,windows
38130,windows
38140,windows
38150,windows
38160,windows
38170,windows
38180,windows
38190,windows
38210,windows
38230,windows
38400,windows
38410,windows
38420,windows
38430,windows
38450,windows
38460,windows
38490,windows
38600,windows
38600,mac
38700,windows
38700,mac
38700,linux
38720,windows
38720,mac
38720,linux
38740,windows
38740,mac
38740,linux
39000,windows
39110,windows
39120,windows
39140,windows
39150,windows
39190,windows
39200,windows
39210,windows
39500,windows
39510,windows
39520,windows
39540,windows
39560,windows
39630,windows
39640,windows
39650,windows
39660,windows
39670,windows
39680,windows
39690,windows
39800,windows
39800,mac
39800,linux
39900,windows
40100,windows
40200,windows
40210,windows
40300,windows
40320,windows
40330,windows
40340,windows
40350,windows
40380,windows
40390,windows
40400,windows
40400,mac
40400,linux
40420,windows
40420,mac
40420,linux
40500,windows
40700,windows
40700,mac
40720,windows
40930,windows
40950,windows
40970,windows
40980,windows
40990,windows
41000,windows
41070,windows
41070,mac
41070,linux
41100,windows
41100,mac
41100,linux
41300,windows
41300,mac
41300,linux
41400,windows
41500,windows
41500,mac
41600,windows
41660,windows
41680,windows
41700,windows
41740,windows
41800,windows
41800,mac
41800,linux
41900,windows
41900,mac
41900,linux
42000,windows
42120,windows
