,appid,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
7311,417060,15,6,0,0,10000
7312,417110,189,88,277,277,35000
7313,417150,60,21,0,0,10000
7314,417200,42,17,0,0,10000
7315,417290,2119,173,551,962,150000
7316,417310,14,7,0,0,10000
7317,417350,1,9,0,0,10000
7318,417400,14,3,0,0,10000
7319,417410,21,1,0,0,10000
7320,417430,474,252,586,764,150000
7321,417480,15,7,0,0,10000
7322,417750,232,69,0,0,10000
7323,417840,2,10,0,0,10000
7324,417860,25981,3340,121,48,1500000
7325,417880,667,293,0,0,35000
7326,417890,758,166,35,52,350000
7327,417900,26,1,0,0,10000
7328,417910,956,724,20,27,350000
7329,417920,26,28,0,0,10000
7330,417980,45,9,0,0,10000
7331,417990,335,82,744,744,10000
7332,418030,2680,1130,82,82,150000
7333,418040,488,41,270,539,35000
7334,418050,7,3,0,0,10000
7335,418060,74,35,0,0,35000
7336,418070,3041,310,224,228,750000
7337,418120,349,77,221,221,35000
7338,418150,107,24,4277,4277,10000
7339,418160,48,9,207,215,150000
7340,418170,6,2,0,0,10000
7341,418180,1221,501,102,129,150000
7342,418190,513,31,287,287,35000
7343,418210,65,7,0,0,10000
7344,418240,9523,417,287,218,750000
7345,418250,245,101,0,0,35000
7346,418260,8,8,0,0,10000
7347,418270,71,28,0,0,10000
7348,418280,25,63,0,0,35000
7349,418300,363,66,0,0,35000
7350,418310,15,12,250,250,35000
7351,418340,8844,1830,185,273,350000
7352,418360,67,11,0,0,35000
7353,418370,19022,1718,823,644,750000
7354,418430,6,11,0,0,10000
7355,418440,212,24,0,0,35000
7356,418460,17201,4777,1945,1773,750000
7357,418520,61,1,0,0,35000
7358,418610,62,59,230,240,150000
7359,418620,187,17,0,0,10000
7360,418640,17,8,401,401,10000
7361,418650,1909,84,113,113,150000
7362,418670,198,43,51,51,10000
7363,418910,88,69,0,0,10000
7364,418940,9,3,0,0,10000
7365,418950,412,102,118,159,150000
7366,418960,5,14,319,331,10000
7367,419000,3,1,0,0,10000
7368,419020,18,6,0,0,10000
7369,419080,63,28,0,0,10000
7370,419090,45,10,0,0,35000
7371,419130,16,1,0,0,10000
7372,419460,996,110,0,0,35000
7373,419480,1830,628,0,0,150000
7374,419500,58,3,288,303,35000
7375,419590,31,14,0,0,35000
7376,419700,15,6,0,0,10000
7377,419710,12,0,0,0,10000
7378,419810,35,4,0,0,10000
7379,419990,20,2,0,0,10000
7380,420000,464,147,0,0,35000
7381,420020,38,2,0,0,10000
7382,420060,322,52,0,0,75000
7383,420070,60,28,0,0,10000
7384,420100,130,13,0,0,35000
7385,420110,8671,238,586,602,750000
7386,420160,8,4,0,0,10000
7387,420170,11,2,0,0,10000
7388,420180,78,15,0,0,10000
7389,420210,34,68,0,0,75000
7390,420270,68,45,0,0,35000
7391,420290,9352,1367,396,488,750000
7392,420300,7,14,342,352,10000
7393,420360,44,9,0,0,75000
7394,420370,5,2,0,0,10000
7395,420380,16,4,0,0,10000
7396,420440,523,101,0,0,35000
7397,420500,13,4,0,0,10000
7398,420520,257,28,0,0,35000
7399,420530,10985,220,327,469,350000
7400,420550,88,25,0,0,10000
7401,420570,26,3,0,0,10000
7402,420660,84,10,99,99,10000
7403,420670,26,46,0,0,10000
7404,420740,1378,137,241,222,150000
7405,420770,134,39,0,0,35000
7406,420790,728,221,54,98,350000
7407,420840,164,9,0,0,10000
7408,420850,82,30,0,0,35000
7409,420880,62,160,0,0,75000
7410,420900,10,3,0,0,10000
7411,420920,26,17,0,0,10000
7412,420930,406,100,0,0,35000
7413,420950,70,27,0,0,10000
7414,420970,48,45,344,354,150000
7415,420980,167,14,0,0,10000
7416,421020,3779,1923,873,1366,350000
7417,421030,481,126,273,273,10000
7418,421040,3709,485,365,405,350000
7419,421050,1868,270,247,247,350000
7420,421110,16,22,0,0,10000
7421,421120,1888,98,515,515,350000
7422,421140,11,6,0,0,10000
7423,421180,7,3,0,0,10000
7424,421260,107,3,0,0,10000
7425,421600,40,31,0,0,10000
7426,421610,42,6,0,0,10000
7427,421620,4,3,0,0,10000
7428,421630,128,4,0,0,10000
7429,421660,342,8,219,219,10000
7430,421670,865,129,0,0,150000
7431,421700,478,78,647,817,150000
7432,421710,34,6,0,0,10000
7433,421740,223,51,0,0,75000
7434,421810,252,82,0,0,35000
7435,421870,16,3,0,0,10000
7436,421880,58,27,0,0,10000
7437,421890,25,18,0,0,10000
7438,422010,1,0,0,0,10000
7439,422020,33,12,0,0,10000
7440,422030,9,5,0,0,10000
7441,422100,362,316,216,218,750000
7442,422110,149,9,225,225,10000
7443,422130,48,53,0,0,10000
7444,422140,28,28,0,0,10000
